epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,509.572,1.30868,2.61709,0.97588,1.39052,0.87512,0.81439,0.87758,0.52508,0.85001,0.80734,0.86441,0.44871,1.30839,2.12853,0.88958,1.36281,0.0010595,0.0010595,0.0010595
59,517.947,1.3158,2.61109,0.96394,1.39556,0.84682,0.82875,0.8707,0.53692,0.82945,0.80314,0.85241,0.44928,1.27346,2.15791,0.93003,1.34987,0.001043,0.001043,0.001043
60,526.304,1.29015,2.52988,0.91541,1.35046,0.86619,0.83145,0.87284,0.54323,0.84328,0.79817,0.85574,0.4522,1.24902,2.16033,0.87983,1.33411,0.0010265,0.0010265,0.0010265
61,535,1.3154,2.59477,0.94146,1.3962,0.86619,0.83145,0.87284,0.54323,0.84328,0.79817,0.85574,0.4522,1.24902,2.16033,0.87983,1.33411,0.00101,0.00101,0.00101
62,543.652,1.261,2.48798,0.92113,1.35833,0.87314,0.81346,0.86865,0.54675,0.87028,0.8104,0.86314,0.45565,1.21403,2.12836,0.87131,1.31498,0.0009935,0.0009935,0.0009935
63,552.245,1.30828,2.65836,0.95004,1.40838,0.84352,0.84076,0.86527,0.55725,0.82832,0.82625,0.8465,0.44459,1.19766,2.11264,0.86628,1.31315,0.000977,0.000977,0.000977
64,560.612,1.29675,2.56432,0.97271,1.37427,0.84435,0.84709,0.88175,0.56743,0.83307,0.82569,0.86056,0.46867,1.18715,2.11777,0.86122,1.3176,0.0009605,0.0009605,0.0009605
65,569.52,1.3233,2.62132,1.01157,1.41179,0.82957,0.81651,0.86632,0.55411,0.81737,0.8212,0.85646,0.47497,1.21162,2.09614,0.90311,1.33641,0.000944,0.000944,0.000944
66,577.674,1.27863,2.52117,0.91546,1.36285,0.80928,0.82569,0.85781,0.53798,0.84752,0.7989,0.85336,0.46212,1.26703,2.11857,0.92607,1.36981,0.0009275,0.0009275,0.0009275
67,585.858,1.32266,2.60938,0.98215,1.42535,0.85459,0.82875,0.86152,0.54534,0.85178,0.82875,0.85838,0.45152,1.23035,2.11506,0.90818,1.34234,0.000911,0.000911,0.000911
