epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1676.8,0.66855,1.02449,0.59907,1.02208,0.87793,0.86101,0.92383,0.78849,0.88817,0.86268,0.91319,0.66159,0.54564,0.70682,0.51842,0.92182,0.00134,0.00134,0.00134
42,1717.5,0.69705,1.06938,0.63028,1.03173,0.83181,0.87441,0.90481,0.76301,0.8662,0.84507,0.9075,0.63076,0.56569,0.86656,0.56663,0.96092,0.0013235,0.0013235,0.0013235
43,1757.78,0.67869,1.02947,0.64528,1.03092,0.8389,0.85565,0.90442,0.77139,0.9027,0.81573,0.90069,0.65023,0.55276,0.83057,0.55555,0.93662,0.001307,0.001307,0.001307
44,1798.11,0.67523,1.07499,0.63694,1.02593,0.85271,0.87441,0.91444,0.78005,0.86136,0.87793,0.9128,0.62244,0.54368,0.78387,0.53194,0.94455,0.0012905,0.0012905,0.0012905
45,1838.29,0.64155,1.00134,0.59415,1.00639,0.85936,0.88214,0.92405,0.79921,0.91516,0.83556,0.90973,0.65486,0.52283,0.72037,0.48307,0.92632,0.001274,0.001274,0.001274
46,1878.69,0.65336,0.96496,0.57382,1.00394,0.87367,0.86972,0.92351,0.78794,0.89129,0.86605,0.90965,0.62258,0.55183,0.75167,0.50732,0.94185,0.0012575,0.0012575,0.0012575
47,1919.33,0.66665,0.98859,0.61529,1.02203,0.85342,0.84735,0.90575,0.76745,0.86352,0.84661,0.89456,0.63746,0.5396,0.78398,0.57876,0.93419,0.001241,0.001241,0.001241
48,1959.59,0.65861,0.9744,0.61348,1.01649,0.85908,0.87793,0.9274,0.79991,0.90347,0.84272,0.91311,0.64613,0.51214,0.69172,0.48962,0.92468,0.0012245,0.0012245,0.0012245
49,2000.29,0.66588,1.03957,0.63097,1.01867,0.89348,0.85648,0.92897,0.80255,0.89955,0.85094,0.91216,0.63775,0.51349,0.67496,0.50044,0.92177,0.001208,0.001208,0.001208
50,2040.61,0.64077,0.96481,0.59316,1.01184,0.87559,0.81573,0.89889,0.76176,0.87685,0.8169,0.89406,0.62158,0.57064,0.89871,0.57694,0.96855,0.0011915,0.0011915,0.0011915
51,2081.1,0.64894,0.99423,0.59951,1.01766,0.87683,0.8857,0.93384,0.81291,0.88829,0.86797,0.92486,0.67029,0.49302,0.66148,0.48096,0.93212,0.001175,0.001175,0.001175
52,2123.13,0.63602,0.97507,0.60202,1.0071,0.87196,0.8662,0.92689,0.81054,0.89634,0.86033,0.92078,0.65163,0.49298,0.6806,0.48569,0.92559,0.0011585,0.0011585,0.0011585
53,2163.65,0.6535,1.02087,0.60501,1.01903,0.86241,0.84742,0.91693,0.80362,0.87401,0.85495,0.91152,0.67123,0.49304,0.70839,0.50919,0.936,0.001142,0.001142,0.001142
54,2204.19,0.65879,0.98601,0.59232,1.01065,0.86627,0.85681,0.92373,0.79145,0.87342,0.84507,0.90291,0.61276,0.54763,0.75555,0.53096,0.9368,0.0011255,0.0011255,0.0011255
55,2244.68,0.64475,0.94295,0.58314,1.00088,0.8681,0.86033,0.92335,0.79455,0.89619,0.85915,0.91638,0.65327,0.51907,0.71832,0.49309,0.94638,0.001109,0.001109,0.001109
56,2284.79,0.62116,0.93438,0.58241,0.99411,0.87626,0.87089,0.93468,0.8143,0.88468,0.85329,0.91637,0.64882,0.49201,0.6735,0.47665,0.91782,0.0010925,0.0010925,0.0010925
57,2325.37,0.63892,0.95479,0.57018,1.00183,0.86811,0.87324,0.92513,0.79961,0.88149,0.86502,0.9175,0.64851,0.49404,0.74125,0.5165,0.92852,0.001076,0.001076,0.001076
58,2365.56,0.62153,0.96701,0.57745,0.99924,0.82938,0.86722,0.9053,0.77013,0.8505,0.85468,0.89795,0.61889,0.52995,0.77061,0.53393,0.95378,0.0010595,0.0010595,0.0010595
59,2405.83,0.5954,0.89178,0.53858,0.98024,0.87125,0.83568,0.915,0.78741,0.8459,0.87621,0.90479,0.63743,0.52036,0.71949,0.52327,0.93832,0.001043,0.001043,0.001043
60,2446.04,0.63886,0.96341,0.59317,1.00552,0.86909,0.87207,0.92584,0.82048,0.89189,0.86385,0.91861,0.66521,0.45884,0.68383,0.47392,0.90511,0.0010265,0.0010265,0.0010265
61,2486.93,0.60699,0.90729,0.57182,0.99245,0.86879,0.86267,0.92418,0.80181,0.86643,0.86033,0.90841,0.6369,0.50657,0.70171,0.49037,0.9235,0.00101,0.00101,0.00101
62,2527.24,0.6212,0.95369,0.58107,0.99845,0.88212,0.87089,0.93539,0.82371,0.90103,0.84742,0.9201,0.65649,0.47517,0.68505,0.47108,0.90951,0.0009935,0.0009935,0.0009935
63,2567.4,0.60602,0.9359,0.56678,0.99742,0.88006,0.88263,0.93489,0.81394,0.8994,0.87096,0.92283,0.64893,0.49004,0.68899,0.46727,0.91599,0.000977,0.000977,0.000977
64,2607.81,0.61471,0.92575,0.57021,0.99377,0.86677,0.86288,0.92132,0.78737,0.87778,0.87559,0.91742,0.65215,0.52104,0.73258,0.53329,0.93329,0.0009605,0.0009605,0.0009605
65,2648.04,0.6178,0.96708,0.56752,1.00225,0.88864,0.86737,0.93052,0.80919,0.89696,0.87441,0.92318,0.65756,0.48394,0.66932,0.46452,0.9142,0.000944,0.000944,0.000944
66,2688.4,0.62206,0.9534,0.55442,0.99369,0.84872,0.89085,0.92586,0.80034,0.86833,0.87462,0.91615,0.64074,0.51592,0.70204,0.49172,0.92108,0.0009275,0.0009275,0.0009275
67,2728.74,0.62891,0.9779,0.59054,1.00785,0.86368,0.84028,0.91376,0.79968,0.88872,0.85094,0.91061,0.65224,0.48835,0.71212,0.52106,0.93075,0.000911,0.000911,0.000911
68,2769.13,0.59188,0.88547,0.55352,0.98132,0.86972,0.87757,0.9319,0.81818,0.89171,0.86737,0.92056,0.65346,0.48932,0.69968,0.47548,0.92034,0.0008945,0.0008945,0.0008945
69,2809.34,0.57846,0.8787,0.54021,0.96637,0.8829,0.8662,0.93387,0.82417,0.90351,0.85726,0.92544,0.67022,0.46849,0.63618,0.46069,0.91064,0.000878,0.000878,0.000878
70,2850.9,0.63243,0.96971,0.58013,1.00673,0.84765,0.85545,0.91858,0.79749,0.88753,0.84155,0.91349,0.66413,0.5131,0.7403,0.51812,0.92707,0.0008615,0.0008615,0.0008615
71,2891.47,0.61486,0.90801,0.55411,0.99549,0.89232,0.8392,0.92699,0.81698,0.90511,0.83961,0.91673,0.67187,0.47969,0.69874,0.48091,0.91427,0.000845,0.000845,0.000845
72,2931.87,0.59712,0.92216,0.55244,0.98438,0.87997,0.8691,0.93694,0.82536,0.89533,0.85563,0.92509,0.6814,0.47647,0.67087,0.45148,0.91666,0.0008285,0.0008285,0.0008285
73,2973.37,0.60227,0.89529,0.54211,0.98293,0.83553,0.89437,0.92479,0.80764,0.88354,0.85481,0.9164,0.64004,0.48784,0.67122,0.49304,0.91961,0.000812,0.000812,0.000812
74,3013.69,0.62458,0.9706,0.57078,0.99644,0.86051,0.87793,0.92991,0.82174,0.88698,0.87506,0.92149,0.66713,0.46288,0.63273,0.46018,0.9051,0.0007955,0.0007955,0.0007955
75,3054.4,0.58107,0.87796,0.53339,0.97288,0.8664,0.84272,0.9196,0.81025,0.89674,0.84742,0.91538,0.66257,0.46835,0.70817,0.49531,0.91623,0.000779,0.000779,0.000779
76,3094.73,0.59221,0.90221,0.54914,0.98502,0.87414,0.84776,0.91821,0.81779,0.88611,0.84038,0.91111,0.66659,0.465,0.68323,0.489,0.91446,0.0007625,0.0007625,0.0007625
77,3134.99,0.59856,0.89795,0.54509,0.98292,0.86962,0.86898,0.92983,0.82188,0.89202,0.86033,0.91905,0.65924,0.45929,0.65507,0.46359,0.91034,0.000746,0.000746,0.000746
78,3175.45,0.59853,0.89736,0.55773,0.97721,0.89247,0.85726,0.93737,0.82945,0.90619,0.85446,0.92604,0.6509,0.45901,0.63699,0.45555,0.90397,0.0007295,0.0007295,0.0007295
79,3215.89,0.60555,0.90962,0.55495,0.98234,0.87009,0.8883,0.9372,0.84073,0.91264,0.85211,0.92877,0.6812,0.44104,0.60299,0.44332,0.89388,0.000713,0.000713,0.000713
80,3257.23,0.61536,0.92734,0.55397,0.99597,0.87917,0.87793,0.93407,0.82179,0.90433,0.85446,0.92238,0.67964,0.48788,0.60732,0.44917,0.90347,0.0006965,0.0006965,0.0006965
81,3298.44,0.5808,0.875,0.52862,0.97643,0.86918,0.8812,0.93753,0.83392,0.90921,0.84977,0.92191,0.65543,0.45437,0.62801,0.44888,0.90005,0.00068,0.00068,0.00068
82,3338.75,0.59672,0.91427,0.55517,0.98446,0.90707,0.86385,0.93694,0.82193,0.90571,0.85329,0.92572,0.65774,0.46848,0.60434,0.46168,0.89669,0.0006635,0.0006635,0.0006635
83,3379.26,0.60882,0.91684,0.5779,0.99033,0.86159,0.89319,0.9313,0.81773,0.89666,0.86564,0.92059,0.65897,0.47274,0.63791,0.46011,0.90591,0.000647,0.000647,0.000647
84,3420.19,0.60396,0.88964,0.55779,0.99034,0.8775,0.89319,0.93923,0.83334,0.88622,0.88146,0.9293,0.68101,0.45154,0.60899,0.44254,0.89365,0.0006305,0.0006305,0.0006305
85,3460.28,0.56653,0.84436,0.53769,0.97046,0.86432,0.89554,0.93924,0.83207,0.89604,0.85563,0.92996,0.67923,0.45922,0.60337,0.43961,0.89501,0.000614,0.000614,0.000614
86,3501.11,0.6048,0.91334,0.55686,0.99601,0.87563,0.85941,0.93237,0.82671,0.88479,0.8615,0.92409,0.67697,0.45394,0.62272,0.45436,0.91162,0.0005975,0.0005975,0.0005975
87,3541.79,0.57279,0.87501,0.52572,0.96611,0.88841,0.87793,0.94167,0.83645,0.90173,0.86737,0.93227,0.68694,0.43818,0.61505,0.43236,0.89369,0.000581,0.000581,0.000581
