epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,920.372,0.70498,1.07207,0.65821,1.00165,0.8871,0.84977,0.92502,0.79939,0.88752,0.84279,0.91754,0.64507,0.51589,0.67118,0.49988,0.88485,0.0012905,0.0012905,0.0012905
45,941.209,0.68662,1.03776,0.63272,0.98446,0.84031,0.84859,0.9122,0.78888,0.92462,0.79812,0.91267,0.6566,0.52135,0.72378,0.52874,0.89164,0.001274,0.001274,0.001274
46,961.746,0.67214,1.01967,0.61249,0.97951,0.88198,0.8392,0.92198,0.78979,0.89177,0.84624,0.9173,0.64449,0.53295,0.71411,0.5256,0.89215,0.0012575,0.0012575,0.0012575
47,982.044,0.66671,1.02497,0.61344,0.97817,0.86607,0.86526,0.9344,0.80911,0.89376,0.86268,0.931,0.6802,0.49803,0.68751,0.48586,0.87288,0.001241,0.001241,0.001241
48,1002.85,0.71549,1.1083,0.64382,1.00519,0.83937,0.88146,0.9217,0.79014,0.85478,0.87741,0.91669,0.63893,0.52718,0.75224,0.53681,0.89765,0.0012245,0.0012245,0.0012245
49,1023.28,0.66389,0.99581,0.62638,0.97907,0.85437,0.85388,0.92543,0.80366,0.8601,0.85871,0.918,0.66025,0.50087,0.7054,0.51102,0.88315,0.001208,0.001208,0.001208
50,1043.86,0.66977,1.0102,0.63452,0.98303,0.85031,0.87559,0.92686,0.80068,0.86433,0.87483,0.92123,0.66262,0.5156,0.67781,0.50088,0.87664,0.0011915,0.0011915,0.0011915
51,1064.47,0.70271,1.08873,0.65156,0.99906,0.87715,0.86318,0.9316,0.79988,0.88947,0.85952,0.92441,0.64969,0.51933,0.67772,0.50619,0.88019,0.001175,0.001175,0.001175
52,1085.08,0.66438,0.98594,0.61636,0.96135,0.85123,0.87207,0.93143,0.80936,0.87468,0.86835,0.92361,0.65161,0.50739,0.67699,0.48709,0.88182,0.0011585,0.0011585,0.0011585
53,1105.59,0.64711,0.95261,0.60529,0.9712,0.87587,0.86502,0.93274,0.80509,0.88082,0.87611,0.93226,0.67868,0.51788,0.64772,0.47721,0.88468,0.001142,0.001142,0.001142
54,1126.08,0.6488,0.95773,0.58861,0.96678,0.85722,0.87911,0.93304,0.80086,0.87731,0.86443,0.92251,0.64902,0.52703,0.66901,0.49607,0.88186,0.0011255,0.0011255,0.0011255
55,1146.82,0.69554,1.07691,0.63411,0.99474,0.87801,0.85681,0.92882,0.80512,0.89295,0.86151,0.92626,0.69448,0.49194,0.65106,0.49282,0.87476,0.001109,0.001109,0.001109
56,1167.64,0.65318,1.00004,0.61692,0.98333,0.89154,0.8394,0.92819,0.80284,0.90316,0.84624,0.92247,0.65103,0.51659,0.65351,0.49712,0.87888,0.0010925,0.0010925,0.0010925
57,1188.37,0.63878,0.96368,0.59262,0.95794,0.86556,0.86903,0.92805,0.81152,0.8858,0.8649,0.92324,0.67769,0.49315,0.63462,0.47965,0.87499,0.001076,0.001076,0.001076
58,1209.08,0.66935,1.02355,0.60926,0.97775,0.89107,0.85448,0.9294,0.80054,0.89789,0.85667,0.92261,0.6658,0.52621,0.66719,0.49253,0.88173,0.0010595,0.0010595,0.0010595
59,1229.52,0.69648,1.07371,0.62892,0.99109,0.86846,0.86268,0.92962,0.80392,0.89553,0.85522,0.92297,0.67618,0.49757,0.6389,0.48608,0.87962,0.001043,0.001043,0.001043
60,1250.24,0.6851,1.03775,0.60456,0.98251,0.87655,0.85094,0.9267,0.80082,0.90169,0.84507,0.92411,0.66689,0.52557,0.67456,0.4885,0.88593,0.0010265,0.0010265,0.0010265
61,1270.63,0.66995,1.00349,0.60191,0.97441,0.87502,0.86285,0.92547,0.80501,0.88533,0.86737,0.92693,0.66842,0.51473,0.65964,0.48663,0.88936,0.00101,0.00101,0.00101
62,1291.06,0.64375,0.9629,0.58694,0.96575,0.8946,0.84677,0.92653,0.81111,0.90733,0.85563,0.92726,0.67114,0.49391,0.66456,0.48497,0.88376,0.0009935,0.0009935,0.0009935
63,1311.76,0.65709,0.99272,0.59689,0.96557,0.86337,0.87089,0.92461,0.80669,0.89132,0.86737,0.92819,0.68811,0.49363,0.63505,0.49471,0.88288,0.000977,0.000977,0.000977
64,1332.48,0.63876,0.94981,0.58546,0.95921,0.88802,0.86559,0.9355,0.82087,0.88787,0.88146,0.93164,0.673,0.48696,0.65281,0.46458,0.8809,0.0009605,0.0009605,0.0009605
65,1353.18,0.6649,0.97049,0.59106,0.97992,0.8966,0.8651,0.93821,0.81464,0.90739,0.86737,0.9335,0.67676,0.49288,0.64816,0.47612,0.87887,0.000944,0.000944,0.000944
66,1373.78,0.65616,0.9776,0.58037,0.96853,0.85274,0.86319,0.92128,0.78764,0.86577,0.86854,0.92232,0.66719,0.53878,0.67926,0.51831,0.90956,0.0009275,0.0009275,0.0009275
67,1394.31,0.64899,0.95811,0.59153,0.97207,0.87133,0.88146,0.9376,0.82132,0.90061,0.86502,0.93559,0.70534,0.49345,0.63204,0.46685,0.87057,0.000911,0.000911,0.000911
68,1415.14,0.6523,0.99066,0.60491,0.9741,0.88598,0.87554,0.94018,0.81863,0.89543,0.88448,0.93688,0.6796,0.5035,0.63583,0.45906,0.87856,0.0008945,0.0008945,0.0008945
69,1435.74,0.61326,0.90134,0.57855,0.94626,0.90682,0.85798,0.94137,0.83044,0.93078,0.84977,0.93057,0.68308,0.4733,0.62297,0.44492,0.86502,0.000878,0.000878,0.000878
70,1456.29,0.649,0.96145,0.61476,0.96883,0.90514,0.8615,0.93931,0.83165,0.91591,0.8615,0.93034,0.6755,0.46209,0.63004,0.45876,0.86941,0.0008615,0.0008615,0.0008615
