Image,Match_Type,AI_Index,GT_Index,IoU,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,28,4,0.95525956284153,2873,2852,1036.1229,1028.5494
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,29,25,0.9528822055137844,3959,3833,1427.7795,1382.3386
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,24,34,0.9513432835820895,3297,3240,1189.0348,1168.4783
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,8,30,0.9491466388018113,2767,2829,997.8949,1020.2546
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,11,2,0.9466958744067178,7919,8077,2855.9196,2912.9009
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,13,10,0.9449090014756517,1952,2002,703.9721,722.0042
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,7,15,0.9441808540329333,3488,3478,1257.9173,1254.3109
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,31,37,0.9426900584795321,18128,18414,6537.708,6640.8514
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,9,7,0.940099398378237,3637,3780,1311.6529,1363.2246
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,20,1,0.9389736477115118,1418,1378,511.3896,496.9639
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,0,31,0.9354699003897792,4444,4494,1602.6906,1620.7226
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,36,24,0.9330555555555555,3429,3530,1236.6395,1273.0643
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,17,17,0.9304224352147675,2773,2665,1000.0587,961.1094
