epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,2071.3,1.03521,2.10833,0.75961,1.24715,0.86898,0.81957,0.87253,0.57111,0.83655,0.79822,0.83439,0.45482,1.09925,2.25466,0.81645,1.36786,0.0007526,0.0007526,0.0007526
65,2116.96,1.00335,2.0774,0.74043,1.21966,0.84458,0.85627,0.8837,0.57416,0.81836,0.82569,0.84328,0.46359,1.15314,2.34825,0.80498,1.36056,0.0007328,0.0007328,0.0007328
66,2149.63,1.01218,2.08409,0.76111,1.24492,0.87033,0.84098,0.88133,0.57305,0.86248,0.8318,0.864,0.48391,1.17017,2.28284,0.80627,1.37542,0.000713,0.000713,0.000713
67,2173.58,1.0035,2.04767,0.73878,1.21395,0.87567,0.82875,0.87698,0.60051,0.87269,0.82263,0.86162,0.50482,1.08828,2.18712,0.77519,1.34101,0.0006932,0.0006932,0.0006932
68,2198.82,0.98258,2.02178,0.71268,1.22347,0.90367,0.8104,0.87656,0.60093,0.8885,0.79205,0.85394,0.50727,1.09287,2.22002,0.77241,1.3763,0.0006734,0.0006734,0.0006734
69,2219.24,0.99009,2.01704,0.7303,1.23729,0.90367,0.8104,0.87656,0.60093,0.8885,0.79205,0.85394,0.50727,1.09287,2.22002,0.77241,1.3763,0.0006536,0.0006536,0.0006536
70,2245.69,0.98321,2.06253,0.72387,1.21745,0.89665,0.82244,0.87814,0.6006,0.88534,0.82642,0.85872,0.50464,1.10159,2.21932,0.76087,1.38039,0.0006338,0.0006338,0.0006338
71,2267.79,0.96156,2.02382,0.69442,1.20133,0.87258,0.85321,0.89141,0.60483,0.85793,0.83792,0.86343,0.49427,1.09738,2.24728,0.73964,1.35775,0.000614,0.000614,0.000614
72,35342.8,0.9735,1.99529,0.71963,1.2165,0.85846,0.87174,0.89204,0.60434,0.86443,0.83848,0.87357,0.48983,1.08426,2.2144,0.72406,1.33589,0.0005942,0.0005942,0.0005942
73,35368,0.97592,2.03413,0.70561,1.21997,0.89483,0.85015,0.89616,0.60747,0.88949,0.83686,0.88058,0.49294,1.0797,2.18692,0.73412,1.35164,0.0005744,0.0005744,0.0005744
74,35400.9,0.93263,1.93776,0.65665,1.16125,0.90048,0.8578,0.89775,0.61083,0.88105,0.8381,0.87805,0.49986,1.07478,2.20888,0.71731,1.34649,0.0005546,0.0005546,0.0005546
